50
2	1	313	307	8	16	
20	1	310	305	16	16	
21	1	375	351	17	17	
2	1	415	326	8	16	
5	1	415	329	10	8	
9	1	290	240	16	31	
2	1	362	223	8	16	
16	1	357	224	17	16	
2	1	428	50	8	16	
2	1	330	15	8	16	
15	1	428	50	9	16	
15	1	329	16	9	16	
9	1	323	112	16	31	
10	1	293	16	16	16	
2	1	276	18	8	16	
15	1	275	18	9	16	
2	1	203	18	8	16	
15	1	202	18	9	16	
9	1	126	48	16	31	
2	1	115	15	8	16	
22	1	110	16	16	16	
2	1	46	51	8	16	
15	1	46	51	9	16	
-2	0	311	266	13	8	
-2	0	344	362	13	7	
-2	0	398	295	17	12	
-2	0	395	185	13	7	
-2	0	471	97	17	15	
19	1	353	82	16	15	
-1	0	223	372	255	10	
-1	0	227	321	12	50	
-1	0	401	308	76	13	
-1	0	256	276	127	9	
-1	0	238	259	16	30	
-1	0	465	115	47	13	
-1	0	354	100	23	11	
-1	0	354	84	90	9	
-1	0	192	84	97	12	
-1	0	290	113	28	14	
-1	0	321	147	62	11	
-1	0	358	116	12	29	
-1	0	97	84	61	12	
-1	0	63	115	31	12	
-1	0	0	84	31	12	
-4	0	364	194	24	11	
-6	0	2	32	16	50	
10	1	259	209	16	16	
30	1	57	86	32	16	
28	1	446	272	16	16	
28	1	447	289	16	16	
