# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\simon\simon.png	255	0	128
19	textures\misc\HaiXanh.png	255	0	128
15	textures\misc\heartSmall.png	255	0	128
2	textures\misc\light.png		255	0	128
20	textures\misc\vkXanh.png	255	0	128
17	textures\misc\TienDo.png	255	0	128
22	textures\misc\TienVang.png	255	0	128
21	textures\misc\VuonNiem.png	255	0	128
10	textures\enemy\bat.png	255	0	128
9	textures\enemy\BlackNight.png	255	0	128
5	textures\misc\heart.png	255	0	0
8	textures\weopon\image.png	55	0	128
-1	textures\map2\tilesheet.png	255	0	0

[MAP]
#file titlesheet file matrix map
-1	textures/map2/matrix.dat

# id	left	top	with	height	 achorX achorY texture_id
[SPRITES]
# SIMON
# stand
10001	0	0	16	32	0	0  	0
#Go
10002	16	0	16	32	3	0	0
10003	32	0	16	32	3	0	0
10004	48	0	16	32	5	0	0
#Jumb
10005	64	0	16	32	0	0	0
#AscendStairs
10006	80	0	16	32	0	0	0
10007	32	0	16	32	0	0	0
#DescendStairs
10008	96	0	16	32	0	0	0
10009	32	0	16	32	0	0	0
#Hurt
10010	112	0	16	32	0	0	0
#Dead
10011	128	0	16	32	5	2	0
10012	144	16	32	16	7	3	0
#intro
10013	176	0	16	32	0	0	0
#StandingHaveUseSubWeapon
10014	192	0	24	32	0	0	0
10015	216	0	16	32	0	0	0
10016	232	0	24	32	0	0	0
10017	256	0	24	32	0	0	0
10018 	280	0	24	32	0	0	0
10019 	304	0	24	32	0	0	0
#DuckingHaveUseSubWeapon
10020	328	0	16	32	0	0	0
10021	344	0	24	32	0	0`	0
10022	368	0	24	32	0	0	0
10023	392	0	24	32	0	0	0
10024	416	0	24	32	0	0	0
#AscendingStairsHaveUseSubweapon
10025	440	0	24	32	0	0	0
10026	464	0	16	32	0	0	0
10027	480	0	24	32	0	0 	0
10028	504	0	24	32	0	0	0
10029	528	0	24	32	0	0	0
10030 	552	0	24	32	0	0	0
#DescendingStairsHaveUseSubweapon
10031	576	0	16	32	0	0 	0
10032	592	0	24	32	0	0 	0
10033	616	0	24	32	0	0	0
10034 	640	0	24	32	0	0	0
10035	664	0	24	32	0	0	0
#Colors
10038	688	0	16	32	0	0	0
